"id","title","date","authors","authorsInternal","topics","jel","abstract"
"2010-4","Prospects for Global Current Account Rebalancing","April 2010","Kimberly Beaton,Carlos De Resende,René Lalonde,Stephen Snudden","FALSE,FALSE,FALSE,FALSE","Balance of payments and components,Business fluctuations and cycles,International topics,Recent economic and financial developments","E,E2,E21,F,F0,F01,F3,F32","The authors use the Bank of Canada's version of the Global Economy Model, a  multi-country, multi-sector dynamic stochastic general-equilibrium model with an  active banking system (the BoC-GEM-FIN), to study the evolution of global  current account balances following the recent global financial crisis. More  specifically, they use several shocks from the model to generate a simulated  baseline scenario that mimics: (i) the initial, pre-crisis state of  disequilibrium in global current account balances, and (ii) the effects of the  crisis, including those of the policy responses undertaken worldwide. The  authors find that a sufficient set of conditions and policies for a sustainable  resolution of the global current account imbalances relies on three key  elements: (i) a continuous upward adjustment of U.S. private savings, (ii)  fiscal consolidation in advanced countries, and (iii) an orderly adjustment of  exchange rates. These three criteria facilitate a gradual decline in the U.S.  current account deficit going forward. A fourth key element, the implementation  of policies aimed at stimulating domestic demand in emerging Asia, is needed to  ensure that the counterpart of the decrease in the U.S. current account deficit  is mainly a reduction in the surpluses of emerging Asia. Sensitivity analysis  based on deviations from these conditions illustrates the factors behind the  main results and the costs associated with the alternative scenarios considered."
"2010-5","Relative Price Movements and Labour Productivity in Canada: A VAR Analysis","May 2010","Michael Dolega,David Dupuis,Lise Pichette","FALSE,FALSE,TRUE","Labour markets,Productivity,Recent economic and financial developments","E,E2,E23,E24,O,O4,O47","In recent years, the Canadian economy has been affected by strong movements in  relative prices brought about by the surging costs of energy and non-energy  commodities, with significant implications for the terms of trade, the exchange  rate, and the allocation of resources across Canadian sectors and regions. While  the energy and mining industries have benefited from these movements, the  pressure on the manufacturing sector has intensified, since many firms in this  sector were already dealing with growing competition from low-cost economies  such as China. The adjustments undertaken within the Canadian economy are  readily noticeable through investment decisions, as well as through production  and employment reallocation. Using vector autoregressive techniques, the authors  examine how an appreciation in commodity prices and the subsequent reallocation  of resources across sectors will affect hours worked and output growth and,  ultimately, aggregate and sectoral labour productivity growth in Canada. Results  suggest that the impact of a positive relative price shock will – in the  adjustment process – lower productivity growth in the primary and the  non-tradable sectors, and increase it somewhat in the manufacturing sector. The  overall impact appears to be slightly negative on aggregate labour productivity  growth, but this effect is only temporary."
"2010-6","The Fisher BCPI: The Bank of Canada’s New Commodity Price Index","May 2010","Ilan Kolet,Ryan Macdonald","FALSE,FALSE","Econometric and statistical methods,Inflation and prices","C,C1,E,E3","The prices of commodities produced in Canada have important implications for the  performance of the Canadian economy and the conduct of monetary policy. The  authors explain an important change to the methodology used to construct the  Bank of Canada commodity price index (BCPI). Since its inception, the BCPI has  been a fixed-weight index of commodity prices, with weights that were updated  roughly once a decade. Such indexes are subject to bias, because output shares  change over time. In this paper, the authors use the chain Fisher index method  to update the production weights on an annual basis, and expand the BCPI to  include a broader set of commodities. They find that the new index, called the  Fisher BCPI, is more comprehensive, flexible, and accurate than the fixed-weight  index."
"2010-7","Statistical Confidence Intervals for the Bank of Canada's Business Outlook Survey","May 2010","Daniel de Munnik","TRUE","Business fluctuations and cycles,Central bank research,Regional economic developments","C,C4,C46,C8,C81","While a number of central banks publish their own business conditions indicators  that rely on non-random sampling, knowledge about their statistical accuracy has  been limited. Recently, de Munnik, Dupuis, and Illing (2009) made some progress  in this area for the Bank of Canada's Business Outlook Survey (BOS) by  estimating the impact of the Bank's non-random sampling on the accuracy of the  survey results. They found no evidence that the Bank's firm-selection process  results in significantly biased estimates and/or wider confidence intervals than  in the random-selection case. The author deepens and extends this work by (i)  outlining the statistical properties of population-proportion and  balance-of-opinion questions, and demonstrating how their design affects the  calculation of the confidence intervals; (ii) examining the variation in  statistical confidence associated with changes in the underlying response  distribution using actual quarterly BOS results; (iii) considering the  possibility that statistical accuracy varies across questions; and (iv)  investigating whether the statistical accuracy of the survey results changes  with variations in the business cycle. The main findings are that confidence  intervals around the population-proportion questions are about half of those for  the balance-of-opinion questions, and that the confidence bands around both  types of question can change from survey to survey when the underlying response  distribution becomes more or less concentrated in particular response categories  (such as “higher,” “the same,” or “lower”). The author finds that confidence  intervals around the BOS population-proportion questions become somewhat  narrower during periods of recession, while those for the balance-of-opinion  questions vary within a similar range across the cycle."
"2010-9","Inventories in ToTEM","August 2010","Oleksiy Kryvtsov,Yang Zhang","TRUE,FALSE","Business fluctuations and cycles,Economic models","E,E3,E31,E32","ToTEM – the Bank of Canada’s principal projection and policy-analysis model for the Canadian economy – is extended to include inventories. In the model, firms accumulate inventories of finished goods for their role in facilitating the demand for goods. The model is successful in matching procyclical and volatile inventory investment behaviour. The authors show that the convex cost of stock adjustment is key to the model’s ability to match the inventory data quantitatively."
"2011-10","Financial Frictions, Financial Shocks and Labour Market Fluctuations in Canada","December 2011","Yahong Zhang","FALSE","Economic models,Financial markets,Labour markets","E,E3,E32,E4,E44,J,J6","What are the effects of financial market imperfections on unemployment and vacancies in Canada? The author estimates the model of Zhang (2011) – a standard monetary dynamic stochastic general-equilibrium model augmented with explicit financial and labour market frictions – with Canadian data for the period 1984Q2–2010Q4, and uses it to examine the importance of financial shocks on labour market fluctuations in Canada. She finds that the estimated value of the elasticity of external finance, the key parameter capturing financial frictions, is much higher than the value suggested in the literature.  This gives rise to a larger amplification effect from the financial accelerator mechanism, which helps the model generate a more volatile labour market. The author finds that the model accounts well for the cyclical behaviour of unemployment and vacancies observed in the data. She also finds that financial shocks are one of the main sources of fluctuations in the Canadian labour market. Overall, financial shocks contribute about 30 per cent of the fluctuations in unemployment and vacancies for the Canadian economy."
"2011-11","A Model of the EFA Liabilities","December 2011","Francisco Rivadeneyra,Oumar Dissou","TRUE,FALSE","Debt Management,Foreign reserves management","G,G1,G12,G3,G32","The authors describe the liabilities model of the Exchange Fund Account (EFA). The EFA is managed using an asset-liability matching framework that requires currency and duration matching of both sides of the balance sheet. The model chooses the mix of liabilities across instruments and tenors that maximizes the return of the fund subject to a fixed asset-allocation rule and duration matching. The model considers two types of instruments: cross-currency swaps and global bonds. The main trade-off in the model is the cost advantage of cross-currency swaps relative to global bond issuance. Cross-currency swaps are, on average, a cheaper source of funding, but carry counterparty risk.  The model penalizes a skewed maturity profile of liabilities because it carries rollover risks. The model also reports the implied asset-liability gap, which is a function of the total amount of cross-currency swaps."
"2011-1","Financial Spillovers Across Countries: The Case of Canada and the United States","January 2011","Kimberly Beaton,Brigitte Desroches","FALSE,TRUE","Business fluctuations and cycles,Economic models,Financial stability,International topics","E,E2,E27,E3,E32,F,F3,F36,F4,F40","The authors investigate financial spillovers across countries with an emphasis  on the effect of shocks to financial conditions in the United States on  financial conditions and economic activity in Canada. These questions are  addressed within a global vector autoregression model. The framework links  individual country vector autoregression models in which the domestic variables  are related to the country-specific foreign variables. The authors' results  highlight the importance of financial variables in the transmission of shocks to  real activity and financial conditions in the United States to Canada. First,  they show that shocks to U.S. output are transmitted quickly to Canada, with  important implications for financial conditions. Second, they show that the most  important source of financial transmission between the United States and Canada  is through shocks to U.S. equity prices. Financial transmission through  movements in the quantity of U.S. credit is also important for Canada."
"2011-2","The Behaviour of Consumer Prices Across Provinces","May 2011","Gordon Wilkinson","FALSE","Inflation and prices","E,E3,E31","Measures of core inflation enable a central bank to distinguish price movements that are transitory and generated by non-monetary events from those that are more permanent and related to prior monetary policy decisions. The author uses standard statistical measures to assess the behaviour of consumer prices across provinces and identify price components with more divergent price patterns. The results indicate that energy, shelter and tobacco prices are the most volatile across provinces. Very large price movements restricted to one or a few provinces suggest that the forces or events triggering those movements may be province specific and unrelated to national demand pressures. Such results suggest that constructing a type of core inflation measure called the “trimmed mean” that excludes components with exceptionally large price changes at the provincial level may offer an alternative means of assessing underlying inflationary pressures."
"2011-3","The Canadian Debt-Strategy Model: An Overview of the Principal Elements","May 2011","David Bolder,Simon Deeley","FALSE,FALSE","Debt Management,Econometric and statistical methods,Financial markets,Fiscal Policy","C,C0,G,G1,G11,G17,H,H6,H63","As part of managing a debt portfolio, debt managers face the challenging task of  choosing a strategy that minimizes the cost of debt, subject to limitations on  risk. The Bank of Canada provides debt-management analysis and advice to the  Government of Canada to assist in this task, with the Canadian debt-strategy  model being developed to help in this regard. The authors outline the main  elements of the model, which include: cost and risk measures, inflation-linked  debt, optimization techniques, the framework used to model the government's  funding requirement, the sensitivity of results to the choice of joint  stochastic macroeconomic term-structure model, the effects of shocks to  macroeconomic and term-structure variables and changes to their long-term  values, and the relationship between issuance yield and issuance amount.  Emphasis is placed on the degree to which changes to the formulation of model  elements impact key results. The model is an important part of the  decision-making process for the determination of the government's debt strategy.  However, it remains one of many tools that are available to debt managers and is  to be used in conjunction with the judgment of an experienced debt manager."
"2011-4","Lessons from International Central Counterparties: Benchmarking and Analysis","June 2011","Alexandre Lazarow","FALSE","Financial markets,Financial stability,Financial system regulation and policies,Payment clearing and settlement systems","G,G0,G01,G1,G14,G18,G2,G28,G3,G38","Since the financial crisis, attention has focused on central counterparties (CCPs) as a solution to systemic risk for a variety of financial markets, ranging from repurchase agreements and options to swaps. However, internationally accepted standards and the academic literature have left unanswered many practical questions related to the design of CCPs. The author analyzes the inherent trade‐offs and resulting international benchmarks for a certain set of issues. Four CCPs – FINet, CME Clearing, Eurex Clearing and LCH.Clearnet – are considered in terms of risk management, CCP links, governance and operational risk."
"2011-5","External Stability, Real Exchange Rate Adjustment and the Exchange Rate Regime in Emerging-Market Economies","June 2011","Olivier Gervais,Lawrence Schembri,Lena Suchanek","TRUE,TRUE,TRUE","Development economics,Exchange rate regimes,International topics","F,F3,F31,F32,F4,F41","In emerging-market economies, real exchange rate adjustment is critical for maintaining a sustainable current account position and thereby for helping to reduce macroeconomic and financial instability. The authors examine empirically two related hypotheses: (i) that real exchange rate flexibility and adjustment promotes external stability, and (ii) that a flexible nominal exchange rate facilitates real exchange rate adjustment. Based on an  event-study analysis for a large set of emerging-market economies over the period 1975–2008, the authors find that real exchange rate adjustment has contributed significantly to reducing current account imbalances. The adjustment of current account deficits in countries with a fixed exchange rate regime does not typically occur through the classical adjustment mechanism, but as a consequence of exchange rate crises, where the nominal exchange rate collapses and there are substantial costs in terms of forgone output. Vector-error-correction results support the findings of the event study; namely, in the long run the real exchange rate movements facilitate current account adjustment."
"2011-6","The Role of Financial Speculation in Driving the Price of Crude Oil","July 2011","Ron Alquist,Olivier Gervais","FALSE,TRUE","International topics","G,G1,G12,Q,Q4,Q41","Over the past 10 years, financial firms have increased the size of their positions in the oil futures market. At the same time, oil prices have increased dramatically. The conjunction of these developments has led some observers to argue that financial speculation caused the run-up in oil prices. Yet several arguments cast doubt on the validity of this claim. First, although the stock of open futures contracts is many times larger than the flow of oil consumption in the United States, comparing these two statistics is misleading. Stocks are not measured with respect to a specific unit of time but flows are, so the two are not directly comparable. Second, empirical analysis shows that changes in financial firms’ positions do not predict oil-price changes, but that oil-price changes predict changes in positions. Third, the evidence indicates that financial firms’ positions did not cause the market to expect persistent price increases during 2007/08. Other explanations for the increase in oil prices include macroeconomic fundamentals, such as interest rates and increased demand from emerging Asia. Of these two explanations, the one that seems most consistent with the facts explains oil-price fluctuations in terms of large and persistent demand shocks related to growth in global real activity in the presence of supply constraints."
"2011-7","The Impact of Operational Events on the Network Structure of the LVTS","August 2011","Tom Roberts","TRUE","Payment clearing and settlement systems","C,C4,C49,G,G1,G14,G2,G21","The author uses a quantitative network analysis approach to assess how participants in the Large Value Transfer System (LVTS) respond to partial outages at other banks. Despite the limited number of operational events, benchmarks can be established. For example, the effect of a partial outage at a big six bank that has a net payment balance of $1 billion is estimated to correspond to a decline in connectivity of about 6 or 7 per cent, due to other participants not sending payments to the problem participant. This suggests that participants tend to perceive a partial outage at a counterparty as inconvenient enough to warrant a delaying of payments, at least to the problem participant. There is no strong evidence of systemic effects, whereby participants also delay payments to non-problem counterparties, in an effort to maintain a reasonable liquidity position. Notable events mostly occurred in 2004 or 2005, and the incidence of operational events did not increase over the sample period. The improvement of contingency measures, such as the use of the LVTS Direct Network, possibly contributed in this regard."
"2011-8","Exchange Rates and Individual Good’s Price Misalignment: Some Preliminary Evidence of Long-Horizon Predictability","October 2011","Wei Dong,Deokwoo Nam","TRUE,FALSE","Exchange rates,International topics","F,F3,F31,F4,F47","When prices are sticky, movements in the nominal exchange rate have a direct impact on international relative prices. A relative price misalignment would trigger an adjustment in consumption and employment, and may help to predict future movements in the exchange rate. Although purchasing-power-parity fundamentals, in general, have only weak predictability, currency misalignment may be indicated by price differentials for some goods, which could then have predictive power for subsequent re-evaluation of the nominal exchange rate. The authors collect good-level price data to construct deviations from the law of one price and examine the resulting price-misalignment model’s predictive power for the nominal exchange rates between the U.S. dollar and two other currencies: the Japanese yen and the U.K. pound. To account for small-sample bias and data-mining issues, inference is drawn from bootstrap distributions and tests of superior predictive ability (SPA) are performed. The slope coefficients and R-squares increase with the forecast horizon for the bilateral exchange rates between the U.S. dollar and the Japanese yen and the U.S. dollar and the U.K. pound. The out-of-sample SPA tests suggest that the authors’ price-misalignment model outperforms random walks either with or without drift for the U.S. dollar vis-à-vis the Japanese yen at the 5 per cent level of significance over long horizons."
"2011-9","What Matters in Determining Capital Surcharges for Systemically Important Financial Institutions?","November 2011","Céline Gauthier,Toni Gravelle,Xuezhi Liu,Moez Souissi","FALSE,TRUE,FALSE,FALSE","Financial system regulation and policies","C,C1,C15,C8,C81,E,E4,E44,G,G0,G01,G2,G21","One way of internalizing the externalities that each individual bank imposes on the rest of the financial system is to impose capital surcharges on them in line with their systemic importance. Given the complexity of the financial system and the resulting difficulties in measuring systemic importance, it is sometimes argued that higher capital surcharges should be applied to larger banks, abstracting from other factors like interconnectedness.  In this paper, the authors consider different network structures of the banking system that are characterized by two different centrality measures. Their main finding is that size alone is not always a good proxy for systemic importance: it must be supplemented with detailed information on interbank exposures. A relatively small bank playing an outsized role in the interbank market might be more systemic, and thus garner a higher capital surcharge, than a less-connected bank of somewhat larger size. Alternatively, if the centrality of banks in an interbank network is positively correlated with their size, then proxies of a bank’s systemic importance largely based on size are sufficient indicators."
"2012-1","A Foreign Activity Measure for Predicting Canadian Exports","February 2012","Louis Morel","TRUE","Balance of payments and components,Exchange rates,Recent economic and financial developments","E,E0,E00,F,F1,F17","The author constructs a measure of foreign activity that takes into account the composition of foreign demand for Canadian exports. It has a number of interesting features. First, the foreign activity measure captures both the composition of demand in the United States (by including components of U.S. private final domestic demand) and economic activity outside of the United States. Second, its coefficients have been estimated over the sample period 1981–2009 controlling for the effect of changes in relative prices. Third, compared with the Bank’s previous U.S. activity index (introduced in the July 2009 Monetary Policy Report), the foreign activity measure provides some improvements for forecasting Canadian exports, especially at longer horizons. For instance, at eight quarters ahead, the gain in terms of forecast accuracy is as much as 22 per cent. Finally, the foreign activity measure helps to explain why Canadian exports dropped by 20 per cent during the global recession of 2008–09 and have only partially recovered since that time."
"2012-2","Why Is Cash (Still) So Entrenched? Insights from the Bank of Canada’s 2009 Methods-of-Payment Survey","February 2012","Carlos Arango,Dylan Hogg,Alyssa Lee","FALSE,TRUE,FALSE","Bank notes,Financial services","D,D1,D12,E,E4,E41,L,L8,L81","The authors present key insights from the Bank of Canada’s 2009 Methods-of-Payment survey. In the survey, about 6,800 participants completed a questionnaire with detailed information regarding their personal finances, as well as their use and perceptions of different payment methods. In addition, about 3,500 participants completed a 3-day diary recording information on each transaction, including the value and the payment instrument chosen. One of the main findings from the diaries is that, even though debit and credit cards account for close to 80 per cent of all transactions in terms of total value, cash is still the predominant payment method in terms of volume, accounting for 54 per cent of all transactions. Using the payment records from the diaries, the authors estimate a simple model of choice between cash and other payment methods. The results suggest that the main reasons why cash is still a popular payment instrument in Canada,"
"2012-3","A Framework to Assess Vulnerabilities Arising from Household Indebtedness Using Microdata","February 2012","Ramdane Djoudad","FALSE","Econometric and statistical methods,Financial stability","C,C1,C15,C3,C31,D,D1,D14,E,E5,E51","Rising levels of household indebtedness have created concerns about the vulnerabilities of households to adverse economic shocks and the impact on financial stability. To assess these risks, the author presents a formal stress-testing framework that uses microdata to simulate how various economic shocks affect the distribution of the debt-service ratio (DSR) for the household sector. Data from an Ipsos Reid Canadian Financial Monitor survey are used to construct the actual DSR distribution for households. Changes in the"
"2012-4","A Note on Central Counterparties in Repo Markets","March 2012","Hajime Tomura","FALSE","Financial markets,Financial stability,Payment clearing and settlement systems","G,G2,G24","The author introduces a central counterparty (CCP) into a model of a repo market.  Without the CCP, there exist multiple equilibria in the model. In one of the equilibria, a repo market emerges as bond dealers and cash investors choose to arrange repos in an over-the-counter bond market. In another equilibrium, the repo market collapses due to aggregate cash shortage for dealers. Introducing a CCP into the repo market blocks the latter equilibrium. This stabilizing effect of a CCP is robust to idiosyncratic default risk of dealers and asymmetric information about the risk."
"2012-5","The U.S.-Dollar Supranational Zero-Coupon Curve","June 2012","Francisco Rivadeneyra","TRUE","Asset Pricing,Financial markets","G,G1,G12,G15","The author describes the construction of the U.S.-dollar-denominated zero-coupon curve for the supranational asset class from 1995 to 2010. He uses yield data from a cross-section of bonds issued by AAA-rated supranational entities to fit the Svensson (1995) term-structure model. Results show the expected pattern of interest rates over the U.S. business cycle. The author computes the spreads relative to the U.S. Treasury zero-coupon yields data of Gürkaynak, Sack and Wright (2007). The average spread for this period is equal to 44 basis points; it increases during recessions and narrows during expansions. Also, the slope of the term structure of spreads shows a countercyclical pattern."
"2012-6","The Bank of Canada’s 2009 Methods-of-Payment Survey: Methodology and Key Results","September 2012","Carlos Arango,Angelika Welte","FALSE,TRUE","Bank notes,Financial services,Payment clearing and settlement systems","E,E4","The authors present the methodology and main findings of the Bank of Canada’s 2009 Methods-of-Payment survey, a detailed investigation of consumer payment behaviour in Canada. The survey targeted the 18- to 75-year-old Canadian resident population. During November 2009, participants answered a questionnaire about their demographics, personal finance, and payment instrument habits and perceptions. Of the 6,868 questionnaire respondents, about half also completed a 3-day shopping diary, recording close to 16,000 shopping transactions. The survey gives a detailed account of Canadians’ cash management habits and payment instrument choices and provides important clues into the reasons why Canadians pay the way they do."
"2012-7","Canadian Bank Balance-Sheet Management: Breakdown by Types of Canadian Financial Institutions","September 2012","David Xiao Chen,H. Evren Damar,Hani Soubra,Yaz Terajima","TRUE,FALSE,FALSE,TRUE","Financial Institutions,Financial stability,Financial system regulation and policies","G,G2,G21,G28","The authors document leverage, capital and liquidity ratios of banks in Canada. These ratios are important indicators of different types of risk with respect to a bank’s balance‐sheet management. Particular attention is given to the observations by different types of banks, including small banks that historically received less attention. In addition, the authors compare leverage and capital ratios for banks in Canada and the United States in the period leading up to the recent crisis. They find that in Canada, most of the risks indicated by these balance‐sheet ratios are concentrated among large banks that are more likely able to withstand shocks due to their diversified portfolios. Some smaller banks, however, reveal vulnerability against liquidity risks. Regarding a Canada - U.S. comparison, small U.S. banks show more vulnerability than their larger counterparts, as well as an increasing trend in vulnerability prior to the crisis. In contrast, the ratios for small Canadian banks show increasing resilience."
