"id","title","date","authors","topics","jel","pdf","abstract"
"2016-1","The Complex Adjustment of the Canadian Economy to Lower Commodity Prices","January 2016","Julien Champagne|Nikita Perevalov|Hope Pioro|Dany Brouillette|Andrew Agopsowicz","Business fluctuations and cycles,Exchange rates,Labour markets,Potential output,Recent economic and financial developments","E,E1,E17,E2,E27,E5,E52,J,J2,Q,Q0,Q00","http://www.bankofcanada.ca/wp-content/uploads/2016/01/san2016-1.pdf","In this analytical note, we provide a comprehensive assessment of the complex structural adjustment facing the Canadian economy following the commodity price decline since mid-2014. We quantify separately the impacts coming from the commodity sector restructuring and the broader effect of significantly lower terms of trade. Based on our analysis, the impact on the Canadian economy will occur in three phases. By the end of phase 3, in 2020, the level of Canadian GDP will be 2 per cent lower due to the commodity price decline than it otherwise would have been had commodity prices stayed at the mid-2014 level. At this point, the commodity sector is expected to play a smaller role in the Canadian economy."
"2016-2","Predictive Ability of Commodity Prices for the Canadian Dollar","March 2016","Kimberly Berg|Pierre Guérin|Yuko Imura","Econometric and statistical methods,Exchange rates","","http://www.bankofcanada.ca/wp-content/uploads/2016/03/san2016-2.pdf","Recent sharp declines in commodity prices and the simultaneous depreciation of the Canadian dollar (CAD) relative to the U.S. dollar (USD) have rekindled an interest in the relationship between commodity prices and the CAD-USD exchange rate. In this note, we evaluate the individual predictive ability in terms of point forecasts and directional accuracy of energy and non-energy commodity prices, the Canada-U.S. interest rate differential, and the USD multilateral factor – which captures co-movements of major currencies relative to the USD – in explaining movements in the nominal CAD-USD exchange rate at the daily, monthly and quarterly frequencies. We not only confirm that both energy and non-energy commodity prices are each individually helpful in explaining contemporaneous movements in the nominal CAD-USD exchange rate, but also find that the USD multilateral factor has a stronger predictive ability."
"2016-3","Canadian Labour Market Dispersion: Mind the (Shrinking) Gap","March 2016","David Amirault|Naveen Rai","Labour markets,Regional economic developments","J,J0,J01,R,R2,R23","http://www.bankofcanada.ca/wp-content/uploads/2016/03/san2016-3.pdf","Shocks to a currency area can and often do have asymmetric impacts on its regions that, in the absence of perfect labour mobility, lead to gaps in relative labour market performance. Witness, for example, the effects of the 2008/09 recession and subsequent financial crisis in Europe on the dispersion of employment rates across the euro area – and to a lesser extent the United States. These interregional labour market gaps can persist, as has traditionally been the case for Canadian provinces. From 1976 to 1997, the mean absolute dispersion between any one province and the national employment rate was 5.5 percentage points – significantly higher than the corresponding measure in the United States. Since then, however, the Canadian metric has fallen consistently and in 2015 was not that different than its U.S. equivalent. Despite the impacts of commodity price booms from 2003 to 2008 and 2010 to 2014, the 2008 Great Recession, and the recent sharp decline in commodity prices on the Canadian economy, Canada’s provincial labour markets are less dissimilar today than at any point in at least the past 35 years. We find that reductions in the dispersion of provincial employment rates in the mid-1990s and 2000s are mostly concentrated among women and those in the 25 to 44 age group. Furthermore, evidence suggests that the tighter dispersion of employment rates has not been driven by stronger employment growth in previously weak regions of the country. Rather, it has mostly occurred as regional population growth has increasingly responded to labour market conditions. In other words, labour is being more efficiently reallocated to the regions of the country that have the tightest labour markets and away from those with excess labour supply. The dispersion of both unemployment and participation rates has fallen, contributing to this trend."
"2016-4","April 2016 Annual Reassessment of Potential Output in Canada","April 2016","Andrew Agopsowicz|Dany Brouillette|Shutao Cao|Natalia Kyui|Pierre St-Amant","Labour markets,Potential output,Productivity","","http://www.bankofcanada.ca/wp-content/uploads/2016/04/san2016-4.pdf","This note summarizes the Bank of Canada’s 2016 annual reassessment of potential output growth, which is projected to be 1.5 per cent over 2016–18 and 1.6 per cent in 2019–20. This projection is weaker than the one presented in the April 2015 Monetary Policy Report. Substantially softer business investment, largely due to much lower energy prices, causes the growth of trend labour productivity to be weaker. Weak business investment is the main negative shock to our projection. As investment picks up and the negative effects of the ongoing economic restructuring dissipate, we expect the growth of trend labour productivity to gradually increase toward its long-term average. Demographic developments are expected to contribute to gradually weaker trend labour input growth, however, which will act as a drag on the growth of potential output. A sensitivity analysis to various assumptions suggests a range for potential output that increases from about ±0.3 percentage points in 2016 to ±0.6 percentage points in 2018 and ±0.7 in 2019 and 2020."
"2016-5","Implementing Market-Based Indicators to Monitor Vulnerabilities of Financial Institutions","June 2016","Cameron MacDonald|Maarten van Oordt|Robin Scott","Financial Institutions,Financial stability","G,G1,G10,G2,G21","http://www.bankofcanada.ca/wp-content/uploads/2016/06/san2016-5.pdf","This note introduces several market-based indicators and examines how they can further inform the Bank of Canada’s vulnerability assessment of Canadian financial institutions. Market-based indicators of leverage suggest that the solvency risk for major Canadian banks has increased since the beginning of the oil-price correction in the second half of 2014. This is in contrast to accounting-based leverage measures, which indicate a stable or improving trend. Similarly, measures of insolvency risk contingent on severe financial stress (i.e., market-based stress tests) indicate that the major banks are currently more vulnerable to a sudden adverse shock than they were in the summer of 2014. Finally, a measure of financial system interconnectedness and common exposures suggests a strong link between the major banks and the rest of the financial system, as expected. In other financial subsectors, the degree of interconnectedness has exhibited an upward trend over the last two decades."
"2016-6","Un examen plus approfondi des pressions salariales au Canada","July 2016","Dany Brouillette|Laurence Savoie-Chabot","Labour markets,Productivity","E,E2,E24,J,J3,J30","http://www.bankofcanada.ca/wp-content/uploads/2016/07/san2016-6.pdf","In this note, we provide a brief outline of the recent developments in wage measures in Canada. We then assess whether wage growth is consistent with its fundamentals. Our analysis indicates that wage pressures remain subdued and almost all measures show that wage growth has remained below its historical average since mid-2015. With respect to the relationship between wage growth and its fundamentals, we find that the wages and total compensation growth was weaker than expected considering the rate of unemployment observed since 2015. This is partly due to the weak labour productivity growth. Finally, we observe that pressures on domestic production costs coming from wages remain modest."
"2016-7","Ce que révèle une analyse sectorielle des dynamiques récentes de l’inflation au Canada","July 2016","Laurence Savoie-Chabot","Exchange rates,Inflation and prices","E,E3,E31","http://www.bankofcanada.ca/wp-content/uploads/2016/07/san2016-7.pdf","Decomposing total inflation in Canada as measured by the consumer price index (CPI) into its key macroeconomic factors, as presented in the most recent Monetary Policy Report, is an interesting exercise that shows how the exchange rate pass-through, commodity prices and the output gap have influenced the evolution of the total inflation rate over time. This aggregate approach, however, may mask important sectoral changes. By further exploring some of the major CPI components (energy, food purchased from stores, goods excluding food and energy, and services), we identify the main sector-specific factors that led to the recent inflation dynamics. Our analysis suggests that the evolution of consumer energy prices has been an important source of downward pressure on total inflation, whereas the increases in the prices of food purchased from stores and of other goods have provided a partial offset. This upward pressure reflects, among other things, the effect of the temporary boost from the pass-through of the past depreciation of the Canadian dollar. Finally, the recent growth in services prices has been relatively subdued, owing in part to excess capacity and modest wage growth, which also contributed to the low total inflation rate."
"2016-8","Crude Oil Prices and Fixed-Asset Cash Spending in the Oil and Gas Industry: Findings from VAR Models","July 2016","Farrukh Suvankulov","Domestic demand and components,Econometric and statistical methods","E,E2,E22,E27,Q,Q4,Q43,Q47","http://www.bankofcanada.ca/wp-content/uploads/2016/07/san2016-8.pdf","This note investigates the relationship between crude oil prices and investment in the energy sector. We employ a set of vector autoregression (VAR) models (unconstrained VAR, vector error-correction and Bayesian VAR) to formalize the relationship between the West Texas Intermediate (WTI) benchmark and fixed-asset cash spending in the oil and gas extraction and support activities sector of the Canadian economy. Using data from Statistics Canada’s Quarterly Financial Statistics for the period 1999Q2–2015Q4, we report that, for example, an average WTI of $50 in 2016 would yield a 27.1 to 31.4 per cent (year over year) decline in fixed-asset cash spending in the sector relative to 2015."
"2016-9","The US Labour Market: How Much Slack Remains?","July 2016","Robert Fay|James Ketcheson","International topics,Labour markets,Recent economic and financial developments","E,E2,E24,J,J2,J21,J23","http://www.bankofcanada.ca/wp-content/uploads/2016/07/san2016-9.pdf","Despite the US unemployment rate being close to estimates of the non-accelerating-inflation rate of unemployment (NAIRU), measures of underemployment remain elevated, which could be an indication of remaining labour market slack. The shares of involuntary part-time workers and long-term unemployment are high relative to the current stage of the business cycle, suggesting available labour inputs are being underutilized. Improvement in these areas could meaningfully increase US labour utilization and support economic growth. Another large potential source of labour market slack exists outside the labour force caused by the relatively low participation rate, which has fallen by more than 3 percentage points since 2007. Most analysis, including that in this note, finds that the aging population is an important factor behind this decline, indicating that there is less slack than implied by the drop in the headline participation rate. However, there is considerable uncertainty about whether the decline in participation unrelated to aging is driven by structural or cyclical phenomena and is therefore representative of slack. Nevertheless, a review of the historical experience suggests that a sizable number of persons outside the labour force could be “activated” and drawn back into the market under much “hotter” labour market conditions. But further research is needed to assess whether the historical relationship is a relevant guide in the current context."
"2017-10","Has Liquidity in Canadian Government Bond Markets Deteriorated?","August 2017","Sermin Gungor|Jun Yang","Financial markets","G,G1,G12,G14","http://www.bankofcanada.ca/wp-content/uploads/2017/08/san2017-10.pdf","This note presents measures of liquidity used by the Bank of Canada to monitor market conditions and discusses recent trends in Government of Canada (GoC) fixed-income market liquidity. Our results indicate that the Bank’s measures have improved since the financial crisis. Furthermore, GoC market liquidity deteriorated following several stressful events: the euro crisis in 2011, the taper tantrum in 2013 and the oil price shock in 2015. In all three cases, the deterioration remained within historical norms and liquidity returned to normal levels afterwards."
"2017-11","Do Canadian Broker-Dealers Act as Agents or Principals in Bond Trading?","September 2017","Daniel Hyun|Jesse Johal|Corey Garriott","Financial Institutions,Financial markets,Financial system regulation and policies,Market structure and pricing,Recent economic and financial developments","G,G1,G14,G2,G20,L,L1","http://www.bankofcanada.ca/wp-content/uploads/2017/09/san2017-11.pdf","Technology, risk tolerance and regulation may influence dealers to reduce their trading as principals (using their own balance sheets for sales and purchases of securities) in favour of agency trading (matching client trades). A move toward agency trading would represent a change in the structure of Canadian bond markets and, in theory, could worsen some aspects of market liquidity. To assess the prevalence of agency trading in Canada, we use data from the Market Trade Reporting System to construct the first estimate of agency-based trading in Canadian bond markets. We find that agency trading is relatively uncommon across major segments of Canadian fixed-income market and that large bank broker-dealers are less likely than their smaller counterparts to trade as an agent."
"2017-12","A Dynamic Factor Model for Commodity Prices","September 2017","Doga Bilgin|Reinhard Ellwanger","Econometric and statistical methods,Recent economic and financial developments","C,C5,C51,Q,Q0,Q02","http://www.bankofcanada.ca/wp-content/uploads/2017/09/san2017-12.pdf","In this note, we present the Commodities Factor Model (CFM), a dynamic factor model for a large cross-section of energy and non-energy commodity prices. The model decomposes price changes in commodities into a common “global” component, a “block” component confined to subgroups of economically related commodities and an idiosyncratic price shock component. Unlike with ordinary factor models, these components have meaningful economic interpretations: the global component mostly relates to global commodity demand shocks, while the idiosyncratic component mostly relates to commodity-specific supply shocks. We give several examples to show that the CFM provides plausible historical decompositions."
"2017-13","Redistributive Effects of a Change in the Inflation Target","October 2017","Robert Amano|Thomas J. Carter|Yaz Terajima","Inflation targets,Monetary policy framework","E,E5,E52,E58","http://www.bankofcanada.ca/wp-content/uploads/2017/10/san2017-13.pdf","In light of the financial crisis and its aftermath, several economists have argued that inflation-targeting central banks should reconsider the level of their inflation targets. While the appropriate level for the inflation target remains an open question, it’s important to note that any transition to a new target would entail certain costs. In this note, we consider one dimension of these costs, namely, the redistributive effects stemming from the fact that financial contracts are often written in nominal terms and would thus experience changes in real value following the announcement of a new target. We use Canadian data on the distribution of nominal assets and liabilities to predict the redistribution of wealth that would occur following a permanent 1-percentage-point increase in the rate of inflation, both across sectors and between various demographic cohorts. We find that this change would trigger a large redistribution of wealth from the household sector to government, mainly through a reduction in the real value of government bonds and unindexed pensions. However, losses are unevenly distributed across the household sector, with a disproportionate share falling on middle-class and wealthier households. We also use a macro model to explore potential implications for output and find that these depend critically on the particular use to which the government directs its windfall."
"2017-14","Can the Canadian International Investment Position Stabilize a Slowing Economy?","October 2017","Maxime Leboeuf|Chen Fan","Balance of payments and components,International financial markets","F,F2,F21,F3,F32","http://www.bankofcanada.ca/wp-content/uploads/2017/10/san2017-14.pdf","In this note, we find that valuation effects can act as an important stabilizer, strengthening Canada’s net external wealth when its economic outlook worsens relative to that of other countries. This is particularly true when the Canadian dollar depreciates against the US dollar and the Canadian outlook worsens compared with that of the United States. Such was the case during the 2014–15 oil price shock, where valuation effects boosted Canada’s net international investment position (NIIP) by 30 per cent of GDP."
"2017-15","Complementing the Credit Risk Assessment of Financial Counterparties with Market-Based Indicators","October 2017","Guillaume Ouellet Leblanc|Maarten van Oordt","Credit risk management,Financial Institutions","G,G1,G10,G2,G24","http://www.bankofcanada.ca/wp-content/uploads/2017/10/san2017-15.pdf","The Bank’s internal credit risk assessment abilities are regularly enhanced. In this note, we present a recent innovation that extends the set of market-based indicators used in the credit risk assessment of financial counterparties. These indicators supplement existing fundamental quantitative and qualitative credit risk analysis by providing a timely reading of markets’ perceptions of the credit quality of financial counterparties."
"2017-16","Low Inflation in Advanced Economies: Facts and Drivers","October 2017","Sanjana Bhatnagar|Anne-Katherine Cormier|Kristina Hess|Patrisha de Leon-Manlagnit|Elise Martin|Vikram Rai|Renaud St-Cyr|Subrata Sarker","Inflation and prices,International topics","E,E0,E3,E31,F,F0","http://www.bankofcanada.ca/wp-content/uploads/2017/10/san2017-16.pdf","Since the global financial crisis, core inflation has been persistently below target in most advanced economies. Recently, it has weakened further in several advanced economies despite gradually diminishing slack. This note reviews recent developments in core inflation across advanced economies and identifies distinctive patterns across regions. In many advanced economies outside of the United States, the decrease in core inflation started in 2016 and was driven primarily by goods prices—most likely because of lower export prices from China in 2016 and past exchange rate appreciations. In the United States, however, the decline in core inflation began in 2017 and has been driven mostly by service prices rather than goods prices. We estimate that roughly two-thirds of the softening in US core inflation may be due to idiosyncratic factors that are unlikely to persist, while the remaining one-third may be attributable to more persistent factors. We then examine the extent to which the persistent weakness in inflation after the global financial crisis can be explained by common factors across advanced economies. Our results suggest that global factors do not play much of a role in influencing domestic core inflation dynamics but that they remain important determinants of total inflation, acting mainly through the goods inflation channel—particularly through energy prices. Finally, we briefly investigate the relationship between economic slack and inflation. We find that the relationship between the output gap and core inflation remains positive, albeit modest, in advanced economies and that a significant share of the post-crisis weakness in inflation has been driven by domestic economic slack. In addition, we find that the relationship between the output gap and inflation is more evident with core services inflation than core goods inflation."
"2017-17","Global Factors and Inflation in Canada","October 2017","Dany Brouillette|Laurence Savoie-Chabot","Inflation and prices,Recent economic and financial developments","E,E3,E31","http://www.bankofcanada.ca/wp-content/uploads/2017/10/san2017-17.pdf","This note investigates whether the recent weakness in inflation in Canada can be related to global factors not included in the current staff analytical framework (domestic slack, movements in commodity prices and in the exchange rate). A global common factor for inflation among selected advanced economies appears to contain marginal information for Canadian inflation beyond what is found in movements in commodity prices and the exchange rate. However, our analysis of potential channels (import prices, global slack and the integration in global value chains) does not help to improve our understanding of the recent weakness in inflation. The analysis reinforces our current assessment that the weakness in inflation over recent quarters is mostly due to Canada-specific temporary factors (food and electricity prices). Still, there is a risk that part of the recent unexplained weakness in CPI inflation may not be due exclusively to Canada-specific factors, although the channels through which that global common factor operates remain undetermined. Further work is therefore needed to explore other channels (e.g., digitalization) through which the effect of this common factor might operate."
"2017-18","Alternative Scenario to the October 2017 MPR Base-Case Projection: Higher Potential Growth","October 2017","Jing Yang|Ben Tomlin|Olivier Gervais","Inflation and prices,Monetary Policy,Potential output","E,E2,E22,E24,E27,E5","http://www.bankofcanada.ca/wp-content/uploads/2017/10/san2017-18.pdf","We construct an alternative scenario in which trend labour input and business investment are stronger than that expected in the Bank of Canada’s base-case projection in the October 2017 Monetary Policy Report. We find that while the size and timing of these effects are highly uncertain, the level of potential and real output could be almost 1 per cent higher than expected by the end of 2020. The resulting effect on the output gap and inflation is small and therefore does not affect the stance of monetary policy."
"2017-19","Digital Transformation in the Service Sector: Insights from Consultations with Firms in Wholesale, Retail and Logistics","November 2017","Wei Dong|James Fudurich|Lena Suchanek","Firm dynamics,Inflation and prices,Service Sector","D,D2,D22,E,E3,E31,L,L8,L81,L9,L92,O,O3,O33","http://www.bankofcanada.ca/wp-content/uploads/2017/11/san2017-19.pdf","Firms increasingly rely on digital technologies such as e-commerce, cloud computing, big data, digital tracking and digital platforms that are reshaping business operations, business models and market structures. In this context, the Bank of Canada consulted with firms in wholesale, retail and logistics, as well as with related industry associations to yield insights on the adoption of digital technologies. Results show that firms are increasingly investing in digital technologies, most often to increase operational efficiency or to enhance customer experience. The survey also aimed to shed light on the various channels through which digital transformation may affect firms’ prices in order to discern the implications of digitalization for inflation. Survey respondents point to some disinflationary pressures overall: first, firms view e-commerce as putting downward pressure on prices, due to increased transparency and comparability in online markets, which amplifies competition and reduces firms’ pricing power. Second, thanks to the adoption of technologies, cost savings and efficiencies are in some cases being passed on to the customer although, for many firms, cost savings are yet to be realized. Finally, firms view digital technologies as a driver of actual or expected changes in market structure, citing consolidation and concentration of market power among dominant players, forcing smaller players out of the market."
"2017-1","The Share of Systematic Variations in the Canadian Dollar—Part II","February 2017","Jean-Sébastien Fontaine|Guillaume Nolin","Exchange rates","F,F3,F31","http://www.bankofcanada.ca/wp-content/uploads/2017/02/san2017-1.pdf","This analytical note examines how much of the systematic variation in the Canadian dollar is attributable to its sensitivity to commodity prices. We introduce a new “oil” portfolio that captures systematic variations when the exchange rates of commodity exporters and commodity importers move in opposite directions. We find that the Canadian dollar’s sensitivity to the oil portfolio has increased with the growing importance of commodities in the Canadian economy; this trend accelerated between 2007 and 2014. However, we find that only a small share of the depreciation of the Canadian dollar in 2014–15 can be attributed to the oil portfolio, even if this depreciation coincided with a sharp decline in oil prices."
"2017-20","Digitalization and Inflation: A Review of the Literature","November 2017","Karyne B. Charbonneau|Alexa Evans|Subrata Sarker|Lena Suchanek","Inflation and prices,Market structure and pricing,Productivity","D,D2,D22,E,E3,E31,L,L8,L81,O,O3,O33","http://www.bankofcanada.ca/wp-content/uploads/2017/11/san2017-20.pdf","In the past few years, many have postulated that the possible disinflationary effects of digitalization could explain the subdued inflation in advanced economies. In this note, we review the evidence found in the literature. We look at three main channels. First, we find that changes in the prices of information and communication technology-related goods and services included in the CPI have had a negligible effect on inflation in Canada. Second, we find that, due to the small share of e-commerce in Canada and the remarkably similar behaviour of online and offline prices, the “Amazon effect” has only had a small disinflationary impact to date. As e-commerce grows, however, downward pressure on inflation may amplify in the future through increased competition, but digitalization may also increase market concentration. Finally, although cost-efficient technologies should lead to increased productivity, which would put downward pressure on inflation, this effect has yet to appear in the statistics. Overall, we find it unlikely that digitalization has so far had a significant effect on inflation in Canada."
"2017-21","Evaluating Real GDP Growth Forecasts in the Bank of Canada Monetary Policy Report","November 2017","André Binette|Dmitri Tchebotarev","Business fluctuations and cycles,Econometric and statistical methods,Monetary Policy","C,C5,C52,E,E3,E32,E37,E5,E52","http://www.bankofcanada.ca/wp-content/uploads/2017/11/san2017-21.pdf","Code available at: GitHub"
