"id","title","date","authors","authorsInternal","topics","jel","pdf","abstract"
"2016-11","Dating Systemic Financial Stress Episodes in the EU Countries","March 2016","Thibaut Duprey,Benjamin Klaus,Tuomas Peltonen","TRUE,FALSE,FALSE","Business fluctuations and cycles,Central bank research,Econometric and statistical methods,Economic models,Financial markets,Financial stability,Financial system regulation and policies,Monetary and financial indicators","C,C5,C54,G,G0,G01,G1,G15","http://www.bankofcanada.ca/wp-content/uploads/2016/03/swp2016-11.pdf","This paper introduces a new methodology to date systemic financial stress events in a transparent, objective and reproducible way. The financial cycle is captured by a monthly country-specific financial stress index. Based on a Markov-switching model, high financial stress regimes are identified, and a simple algorithm is used to select those episodes of financial stress that are associated with a substantial negative impact on the real economy. By applying this framework to 27 European Union countries, the paper is a first attempt to provide a chronology of systemic financial stress episodes in addition to the expert-detected events that are currently available."
"2016-12","Capital Structure, Pay Structure and Job Termination","March 2016","Jason Allen,James R. Thompson","TRUE,FALSE","Financial Institutions,Labour markets","G,G2,G24,J,J3,J33","http://www.bankofcanada.ca/wp-content/uploads/2016/03/swp2016-12.pdf","We develop a model to analyze the link between financial leverage, worker pay structure and the risk of job termination. Contrary to the conventional view, we show that even in the absence of any agency problem among workers, variable pay can be optimal despite workers being risk averse and firms risk neutral. We find that firms employing workers with safer projects (and lower probability of job termination) use more variable compensation, and that leverage is strictly increasing in the amount of variable pay. These two results lead to the main insight of the paper: the more likely it is that a worker is terminated, the lower a firm’s leverage. We provide empirical support for these predictions with a novel data set of all Canadian financial brokers and dealers. In the context of our empirical analysis, the model provides a novel mechanism to help explain why high leverage and high amounts of variable pay may be pervasive in financial relative to non-financial institutions."
"2016-13","Government Corruption and Foreign Direct Investment Under the Threat of Expropriation","March 2016","Christopher Hajzler,Jonathan Rosborough","TRUE,FALSE","Development economics,Economic models,International topics","F,F2,F21,F23,F3,F34","http://www.bankofcanada.ca/wp-content/uploads/2016/03/swp2016-13.pdf","Foreign investment is often constrained by two forms of political risk: expropriation and corruption. We examine the role of government corruption in foreign direct investment (FDI) when contracts are not fully transparent and investors face the threat of expropriation. Using a novel dataset on worldwide expropriations of FDI over the 1990–2014 period, we find a positive relationship between the extent of foreign investor protections and the likelihood of expropriation when a country’s government is perceived to be highly corrupt, but not otherwise. We then develop a theory of dynamic FDI contracts under imperfect enforcement and contract opacity in which expropriation is a result of illicit deals made with previous governments. In the model, a host-country government manages the FDI contract on behalf of the public, which does not directly observe government type (honest or corrupt). A corrupt type is able to extract rents by encouraging hidden investments in return for bribes. Opportunities for corrupt deals arise from the distortions in the optimal contract when the threat of expropriation is binding. Moreover, a higher likelihood of the government being corrupt increases the public’s temptation to expropriate FDI, magnifying investor risk. The model predicts that expropriation is more likely to occur when the share of government take is low and following allegations of bribes to public officials, and it suggests an alternative channel through which corruption reduces optimal foreign capital flows."
"2016-14","A Bitcoin Standard: Lessons from the Gold Standard","March 2016","Warren E. Weber","FALSE","Digital Currencies,Exchange rates,Financial services,Inflation and prices","E,E4,E41,E42,E5,E58","http://www.bankofcanada.ca/wp-content/uploads/2016/03/swp2016-14.pdf","This paper imagines a world in which countries are on the Bitcoin standard, a monetary system in which all media of exchange are Bitcoin or are backed by it. The paper explores the similarities and differences between the Bitcoin standard and the gold standard and describes the media of exchange that would exist under the Bitcoin standard. Because the Bitcoin standard would closely resemble the gold standard, the paper explores the lessons about how it would perform by examining the classical gold standard period, specifically 1880–1913. The paper argues that because there would be virtually no arbitrage costs for international transactions, countries could not follow independent interest rate policies under the Bitcoin standard. However, central banks would still have some limited ability to act as lenders of last resort. Based on the experience during the classical gold standard period, the paper conjectures that there would be mild deflation and constant exchange rates under the Bitcoin standard. The paper also conjectures how long the Bitcoin standard might last if it were to come into existence."
"2016-15","How Fast Can China Grow? The Middle Kingdom’s Prospects to 2030","April 2016","Jeannine Bailliu,Mark Kruger,Argyn Toktamyssov,Wheaton Welbourn","TRUE,TRUE,TRUE,FALSE","Development economics,International topics,Potential output,Productivity","E,E2,E22,E23,E3,E32,O4","http://www.bankofcanada.ca/wp-content/uploads/2016/04/swp2016-15.pdf","Given its size and importance for global commodity markets, the question of how fast the Chinese economy can grow over the medium term is an important one. This paper addresses this question by examining the evolution of the supply side of the Chinese economy over history and projecting how it will evolve over the next 15 years. Using a Cobb-Douglas production function, we decompose the growth of trend GDP into those of the capital stock, labour, human capital and total factor productivity (TFP) and then forecast trend output growth out to 2030 using a bottom-up approach based on forecasts that we build for each one of these factors. Our paper distinguishes itself from existing work in that we construct a forecast of Chinese TFP growth based on the aggregation of forecasts of its key determinants. Moreover, our analysis is based on a carefully constructed estimate of the Chinese productive capital stock and a measure of human capital – based on Chinese wage survey data – that better reflects the returns to education in China. Our results suggest that Chinese trend output growth will decelerate from around 7% currently to about 5% by 2030, and are consistent with a gradual rebalancing of the Chinese economy characterized by a decline in the investment rate."
"2016-16","Asset Encumbrance, Bank Funding and Financial Fragility","April 2016","Toni Ahnert,Kartik Anand,Prasanna Gai,James Chapman","TRUE,FALSE,FALSE,TRUE","Financial Institutions,Financial stability,Financial system regulation and policies","D,D8,D82,G,G0,G01,G2,G21,G28","http://www.bankofcanada.ca/wp-content/uploads/2016/04/swp2016-16.pdf","How does asset encumbrance affect the fragility of intermediaries subject to rollover risk? We offer a model in which a bank issues covered bonds backed by a pool of assets that is bankruptcy remote and replenished following losses. Encumbering assets allows a bank to raise cheap secured debt and expand profitable investment, but it also concentrates risk on unsecured debt and thus exacerbates fragility and raises unsecured funding costs. Deposit insurance or wholesale funding guarantees induce excessive encumbrance and fragility. To mitigate such risk shifting, we study prudential regulatory tools, including limits on encumbrance, minimum capital requirements and surcharges for encumbrance."
"2016-17","Opaque Assets and Rollover Risk","April 2016","Toni Ahnert,Benjamin Nelson","TRUE,FALSE","Financial Institutions,Financial stability","G,G0,G01,G2","http://www.bankofcanada.ca/wp-content/uploads/2016/04/swp2016-17.pdf","We model the asset-opacity choice of an intermediary subject to rollover risk in wholesale funding markets. Greater opacity means investors form more dispersed beliefs about an intermediary’s profitability. The endogenous benefit of opacity is lower fragility when profitability is expected to be high. However, the endogenous cost of opacity is a “partial run,” whereby some investors receive bad private signals about profitability and run, even though the intermediary is solvent. We find that intermediaries choose to be transparent (opaque) when expected profitability is low (high). Intermediaries with less-volatile profitability are also more likely to choose to be opaque."
"2016-18","A General Approach to Recovering Market Expectations from Futures Prices with an Application to Crude Oil","April 2016","Christiane Baumeister,Lutz Kilian","FALSE,FALSE","Econometric and statistical methods,International topics","C,C5,C53,D,D8,D84,G,G1,G14,Q,Q4,Q43","http://www.bankofcanada.ca/wp-content/uploads/2016/04/swp2016-18.pdf","Futures markets are a potentially valuable source of information about price expectations. Exploiting this information has proved difficult in practice, because time-varying risk premia often render the futures price a poor measure of the market expectation of the price of the underlying asset. Although this expectation in principle may be recovered by adjusting the futures price by the estimated risk premium, a common problem is that there are as many measures of the market expectation as there are estimates of the risk premium. We propose a general solution to this problem that allows us to select the most accurate estimate of the expectation for any set of risk premium estimates. We illustrate this approach by solving the long-standing problem of how to estimate the market expectation of the price of crude oil. We provide a new measure of oil price expectations that is substantially more accurate than the alternatives and more economically plausible. Our analysis has implications for the estimation of economic models of energy-intensive durables, for oil price forecasting and for the measurement of oil price shocks."
"2016-19","Should Monetary Policy Lean Against Housing Market Booms?","April 2016","Sami Alpanda,Alexander Ueberfeldt","FALSE,TRUE","Economic models,Financial stability,Housing,Monetary policy framework","E,E4,E44,E5,E52,G,G0,G01","http://www.bankofcanada.ca/wp-content/uploads/2016/04/swp2016-19.pdf","Should monetary policy lean against housing market booms? We approach this question using a small-scale, regime-switching New Keynesian model, where housing market crashes arrive with a logit probability that depends on the level of household debt. This crisis regime is characterized by an elevated risk premium on mortgage lending rates, and, occasionally, a binding zero lower bound on the policy rate, imposing large costs on the economy. Using our set-up, we examine the optimal level of monetary leaning, introduced as a Taylor rule response coefficient on the household debt gap. We find that the costs of leaning in regular times outweigh the benefits of a lower crisis probability. Although the decline in the crisis probability reduces volatility in the economy, this is achieved by lowering the average level of debt, which severely hurts borrowers and leads to a decline in overall welfare."
"2016-2","Agency Costs, Risk Shocks and International Cycles","January 2016","Marc-André Letendre,Joel Wagner","FALSE,TRUE","Business fluctuations and cycles,International topics","E,E2,E22,E3,E32,E4,E44,F,F4,F44","http://www.bankofcanada.ca/wp-content/uploads/2016/01/swp2016-2.pdf","We add agency costs as in Carlstrom and Fuerst (1997) into a two-country, two-good international business-cycle model. In our model, changes in the relative price of investment arise endogenously. Despite the fact that technology shocks are uncorrelated across countries, the relative price of investment is positively correlated across countries in our model, much as it is in detrended U.S./euro area data. We also find that the financial frictions tend to increase the volatility of the terms of trade and the international correlations of consumption, hours worked, output and investment. We then compare this model to an alternative model that also includes risk shocks à la Christiano, Motto and Rostango (2014). We use credit spread data (for the United States) to calibrate the AR(1) process for risk shocks. We find that risk shocks are too small to significantly impact the model’s dynamics."
"2016-20","Retail Order Flow Segmentation","April 2016","Corey Garriott,Adrian Walton","TRUE,TRUE","Financial markets,Financial system regulation and policies,Market structure and pricing","G,G1,G14,G2,G20,L,L1,L10","http://www.bankofcanada.ca/wp-content/uploads/2016/04/swp2016-20.pdf","In August 2012, the New York Stock Exchange launched the Retail Liquidity Program (RLP), a trading facility that enables participating organizations to quote dark limit orders executable only by retail traders. A Hasbrouck (1991) structural vector autoregression shows that the facility increased the information content of the order flow by distinguishing retail trades from relatively more informed trades. A differences-in-differences event study finds that the RLP launch impacted market quality. Stocks with substantial RLP activity experienced mildly improved relative bid-ask spreads, effective spreads, price impacts and return autocorrelations in both the RLP and non-RLP segments."
"2016-21","Early Warning of Financial Stress Events: A Credit-Regime-Switching Approach","April 2016","Fuchun Li,Hongyu Xiao","TRUE,FALSE","Econometric and statistical methods,Financial stability","C,C1,C12,C14,G,G0,G01,G1,G17","http://www.bankofcanada.ca/wp-content/uploads/2016/04/swp2016-21.pdf","We propose an early warning model for predicting the likelihood of a financial stress event for a given future time, and examine whether credit plays an important role in the model as a non-linear propagator of shocks. This propagation takes the form of a threshold regression in which a regime change occurs if credit conditions cross a critical threshold. The in-sample and out-of-sample forecasting performances are encouraging. In particular, the out-of-sample forecasting results suggest that the model based on the credit-regime-switching approach outperforms the benchmark models based on a linear regression and signal extraction approach across all forecasting horizons and all criteria considered."
"2016-22","Estimating Systematic Risk Under Extremely Adverse Market Conditions","May 2016","Maarten van Oordt,Chen Zhou","TRUE,FALSE","Econometric and statistical methods,Financial markets","C,C1,C14,G,G0,G01","http://www.bankofcanada.ca/wp-content/uploads/2016/05/swp2016-22.pdf","This paper considers the problem of estimating a linear model between two heavy-tailed variables if the explanatory variable has an extremely low (or high) value. We propose an estimator for the model coefficient by exploiting the tail dependence between the two variables and prove its asymptotic properties. Simulations show that our estimation method yields a lower mean squared error than regressions conditional on tail observations. In an empirical application we illustrate the better performance of our approach relative to the conditional regression approach in projecting the losses of industry-specific stock portfolios in the event of a market crash."
"2016-23","Identification and Estimation of Risk Aversion in First-Price Auctions with Unobserved Auction Heterogeneity","May 2016","Serafin Grundl,Yu Zhu","FALSE,FALSE","Econometric and statistical methods","C,C1,C14,C5,C57,D,D4,D44,L,L0,L00","http://www.bankofcanada.ca/wp-content/uploads/2016/05/swp2016-23.pdf","This paper shows point identification in first-price auction models with risk aversion and unobserved auction heterogeneity by exploiting multiple bids from each auction and variation in the number of bidders. The required exclusion restriction is shown to be consistent with a large class of entry models. If the exclusion restriction is violated, but weaker restrictions hold instead, the same identification strategy still yields valid bounds for the primitives. We propose a sieve maximum likelihood estimator. A series of Monte Carlo experiments illustrate that the estimator performs well in finite samples and that ignoring unobserved auction heterogeneity can lead to a significant bias in risk-aversion estimates. In an application to U.S. Forest Service timber auctions we find that the bidders are risk neutral, but we would reject risk neutrality without accounting for unobserved auction heterogeneity."
"2016-24","Housing and Tax-Deferred Retirement Accounts","May 2016","Anson T. Y. Ho,Jie Zhou","TRUE,TRUE","Economic models,Housing","C,C6,C61,D,D1,D14,D9,D91,E,E2,E21,H,H2,H24,R,R2,R21","http://www.bankofcanada.ca/wp-content/uploads/2016/05/swp2016-24.pdf","Assets in tax-deferred retirement accounts (TDA) and housing are two major components of household portfolios. In this paper, we develop a life-cycle model to examine the interaction between households’ use of TDA and their housing decisions. The model generates life-cycle patterns of home ownership and the composition of net worth that are broadly consistent with the data from the Survey of Consumer Finances. We find that TDA promotes home ownership, as households take advantage of the preferential tax treatments for both TDA and home ownership. They substitute TDA assets for home equity by accumulating wealth in TDA and making smaller down payments (taking out bigger mortgages); consequently, they become homeowners earlier in their lives. On the other hand, housing-related policies, such as a minimum down payment requirement and mortgage interest deductibility, affect households’ housing decisions more than their use of TDA."
"2016-25","What Are the Macroeconomic Effects of High-Frequency Uncertainty Shocks","May 2016","Laurent Ferrara,Pierre Guérin","FALSE,FALSE","Business fluctuations and cycles,Econometric and statistical methods","C,C3,C32,E,E3,E32,E4,E44","http://www.bankofcanada.ca/wp-content/uploads/2016/05/swp2016-25.pdf","This paper evaluates the effects of high-frequency uncertainty shocks on a set of low-frequency macroeconomic variables that are representative of the U.S. economy. Rather than estimating models at the same common low-frequency, we use recently developed econometric models, which allows us to deal with data of different sampling frequencies. We find that credit and labor market variables react the most to uncertainty shocks in that they exhibit a prolonged negative response to such shocks. When examining detailed investment sub-categories, our estimates suggest that the most irreversible investment projects are the most affected by uncertainty shocks. We also find that the responses of macroeconomic variables to uncertainty shocks are relatively similar across single- and mixed-frequency data models, suggesting that the temporal aggregation bias is not acute in this context."
"2016-26","The Impact of Bankruptcy Reform on Insolvency Choice and Consumer Credit","May 2016","Jason Allen,Kiana Basiri","TRUE,FALSE","Credit and credit aggregates,Financial Institutions,Financial system regulation and policies","D,D1,D14,G,G2,K,K3,K35","http://www.bankofcanada.ca/wp-content/uploads/2016/05/swp2016-26.pdf","We examine the impact of the 2009 amendments to the Canadian Bankruptcy and Insolvency Act on insolvency decisions. Rule changes steered debtors out of division I proposals and into the more cost-effective division II proposals. This also led to a significant substitution out of bankruptcies and into proposals. Using credit bureau data on credit card limits we test, but do not find, any evidence that this substitution into more creditor-friendly insolvencies had any impact on average lending behavior, either immediately following the amendments or up to six years removed."
"2016-27","Timing of Banks’ Loan Loss Provisioning During the Crisis","June 2016","Leo de Haan,Maarten van Oordt","FALSE,TRUE","Financial Institutions,Financial stability","G,G0,G01,G2,G21,G3,G32","http://www.bankofcanada.ca/wp-content/uploads/2016/06/swp2016-27.pdf","We estimate a panel error correction model for loan loss provisions, using unique supervisory data on flow of funds into and out of the allowance for loan losses of 25 Dutch banks in the post-2008 crisis period. We find that these banks aim for an allowance of 49% of impaired loans. In the short run, however, the adjustment of the allowance is only 29% of the change in impaired loans. The deviation from the target is made up by (a) larger additions to allowances in subsequent quarters and (b) smaller reversals of allowances when loan losses do not materialize. After one quarter, the adjustment toward the target level is 34% and after four quarters is 81%. For individual banks, there are substantial differences in timing of provisioning for bad loan losses. We present two model-based metrics that inform supervisors on the extent to which banks’ short-term provisioning behaviour is out of sync with their target levels."
"2016-28","The Real-Time Properties of the Bank of Canada’s Staff Output Gap Estimates","June 2016","Julien Champagne,Guillaume Poulin-Bellisle,Rodrigo Sekkel","TRUE,FALSE,TRUE","Central bank research,Econometric and statistical methods,Potential output","C,C3,C38,E,E1,E17,E3,E32","http://www.bankofcanada.ca/wp-content/uploads/2016/06/swp2016-28.pdf","We study the revision properties of the Bank of Canada’s staff output gap estimates since the mid-1980s. Our results suggest that the average staff output gap revision has decreased significantly over the past 15 years, in line with recent evidence for the U.S. Alternatively, revisions from purely statistical methods to estimate the gap have not experienced the same drop in magnitude. We then examine the usefulness of real-time gap estimates for forecasting inflation and find no deterioration in forecast performance when inflation projections are conditioned on real time rather than on final estimates of the gap."
"2016-29","Financial Crisis Interventions","June 2016","Josef Schroth","TRUE","Credit and credit aggregates,Financial stability,Financial system regulation and policies,Lender of last resort","E,E1,E13,E3,E32,E4,E44","http://www.bankofcanada.ca/wp-content/uploads/2016/06/swp2016-29.pdf","This paper develops a model of an economy where bank credit supports both productive investment and individual consumption smoothing in the face of idiosyncratic income risk. Bank credit is constrained by bank equity capital. When policy-makers inject equity capital during financial crises, they trade off stimulating credit supply immediately against long-term distortions related to funding equity injections. I calibrate my model and show that the bank equity capital injection that maximizes average utilitarian welfare redistributes from the poor to the wealthy. While wealthy savers benefit immediately from an increased supply of safe assets, less affluent borrowers and savers suffer from long-term distortions."
"2016-3","Monetary Commitment and the Level of Public Debt","February 2016","Stefano Gnocchi,Luisa Lambertini","TRUE,FALSE","Credibility,Fiscal Policy,Inflation targets,Monetary policy framework","E,E2,E24,E3,E32,E5,E52","http://www.bankofcanada.ca/wp-content/uploads/2016/02/swp2016-3.pdf","We analyze the interaction between committed monetary policy and discretionary fiscal policy in a model with public debt, endogenous government expenditures, distortive taxation and nominal rigidities. Fiscal decisions lack commitment but are Markov-perfect. Monetary commitment to an interest rate path leads to a unique level of debt. This level of debt is positive if the central bank adopts closed-loop strategies that raise the real interest rate when inflation is above target owing to fiscal deviations. More aggressive defence of the inflation target implies lower debt and higher welfare. Simple Taylor-type interest rate rules achieve welfare levels similar to those generated by sophisticated closed-loop strategies."
